Category,Name,Final_price,Regular_price,Discount_percent,Installment,Cross_border,Sponsor,Reviews,Rating,Rating_by_stars,Url,Image_url
Laptop - Máy Vi Tính - Linh kiện/Laptop/Macbook,Apple Macbook Air 2020 - 13 Inchs (i3-10th/ 8GB/ 256GB) - Hàng Chính Hãng,25289000,28990000,13,YES,NO,NO,1,100,5.0,https://tiki.vn/apple-macbook-air-2020-13-inchs-i3-10th-8gb-256gb-hang-chinh-hang-p56318256.html?spid=56318260&src=category-page-1846.8095&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/49/40/2b/1ff7ac9e945200f2563c4d2eb8db02ee.jpg
Laptop - Máy Vi Tính - Linh kiện/Laptop/Laptop Truyền Thống,Laptop ASUS ExpertBook P3540FA-BQ0319T (Core i5-8265U/ 8GB (4x2) DDR4 2400MHz/ 512GB SSD M.2 SATA/ 15.6FHD/ Win10) - Hàng Chính Hãng,15059000,18990000,21,YES,NO,NO,3,74,3.7,https://tiki.vn/laptop-asus-expertbook-p3540fa-bq0319t-core-i5-8265u-8gb-4x2-ddr4-2400mhz-512gb-ssd-m-2-sata-15-6fhd-win10-hang-chinh-hang-p49334847.html?spid=49334848&src=category-page-1846.8095&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/3f/9c/5b/4f14aa83c97bdcf214bf0cd4aa7d8b45.jpg
Laptop - Máy Vi Tính - Linh kiện/Laptop/Laptop Truyền Thống,Laptop LG Gram 2020 17Z90N-V.AH75A5 (Core i7-1065G7/ 8GB/ 512GB NVMe/ 17 WQXGA IPS (2560*1600)/ Win10 Home Plus/ Silver) - Hàng Chính Hãng,41790000,42490000,2,YES,NO,NO,0,0,0.0,https://tiki.vn/laptop-lg-gram-2020-17z90n-v-ah75a5-core-i7-1065g7-8gb-512gb-nvme-17-wqxga-ips-2560-1600-win10-home-plus-silver-hang-chinh-hang-p51428073.html?spid=51428074&src=category-page-1846.8095&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/e4/d5/60/355eea54d5f1e02524d5ab32864538ea.jpg
Laptop - Máy Vi Tính - Linh kiện/Laptop/Laptop Truyền Thống,Laptop Asus VivoBook S14 S433FA-EB054T (Core i5-10210U/ 8GB RAM/ 512GB SSD/ 14 FHD/ Numpad/ Win10) - Hàng Chính Hãng,17089000,18490000,8,YES,NO,NO,0,0,0.0,https://tiki.vn/laptop-asus-vivobook-s14-s433fa-eb054t-core-i5-10210u-8gb-ram-512gb-ssd-14-fhd-numpad-win10-hang-chinh-hang-p57484076.html?spid=57484077&src=category-page-1846.8095&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/2e/b1/33/9e6789be2dd65f26b4a762c39149f7b9.jpg
Laptop - Máy Vi Tính - Linh kiện/Laptop/Macbook,Apple Macbook Air 2020 - 13 Inchs (i3-10th/ 8GB/ 256GB) - Hàng Nhập Khẩu Chính Hãng,24499000,32990000,26,YES,NO,NO,33,86,4.3,https://tiki.vn/apple-macbook-air-2020-13-inchs-i3-10th-8gb-256gb-hang-nhap-khau-chinh-hang-p52179836.html?spid=52179838&src=category-page-1846.8095&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/56/c4/a9/bd0538985a7d3031ad7168a8953b08fe.jpg
Laptop - Máy Vi Tính - Linh kiện/Laptop/Macbook,Apple Macbook Air 2019 - 13 inchs (i5/ 8GB/ 128GB) - Hàng Nhập Khẩu Chính Hãng,23999000,32990000,27,YES,NO,NO,84,88,4.4,https://tiki.vn/apple-macbook-air-2019-13-inchs-i5-8gb-128gb-hang-nhap-khau-chinh-hang-p23264100.html?spid=23264104&src=category-page-1846.8095&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/24/9c/d8/625ca95a978775e4b6ce04557f985fca.jpg
Laptop - Máy Vi Tính - Linh kiện/Laptop/Laptop Truyền Thống,Laptop Asus Vivobook A512DA-EJ406T AMD R5-3500U/Win10 (15.6 FHD) - Hàng Chính Hãng,13379000,15990000,16,YES,NO,NO,28,90,4.5,https://tiki.vn/laptop-asus-vivobook-a512da-ej406t-amd-r5-3500u-win10-15-6-fhd-hang-chinh-hang-p20955084.html?spid=20955085&src=category-page-1846.8095&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/7c/b8/ce/7cf39b24173219dd3b5a0c855dfcbf8a.jpg
Laptop - Máy Vi Tính - Linh kiện/Laptop/Macbook,Apple Macbook Pro 2020 - 13 Inchs (i5-8th/ 8GB/ 256GB) - Hàng Chính Hãng,33099000,39990000,17,YES,NO,NO,1,100,5.0,https://tiki.vn/apple-macbook-pro-2020-13-inchs-i5-8th-8gb-256gb-hang-chinh-hang-p56316096.html?spid=56316100&src=category-page-1846.8095&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/b1/5e/e5/81fec3375d4effd543c1e464c4d79969.jpg
Laptop - Máy Vi Tính - Linh kiện/Laptop,Laptop Asus E203MAH-FD004T Celeron N4000/Win10 (11.6 inch) (Grey) - Hàng Chính Hãng,5199000,6090000,15,YES,NO,NO,20,66,3.3,https://tiki.vn/laptop-asus-e203mah-fd004t-celeron-n4000-win10-11-6-inch-grey-hang-chinh-hang-p4378943.html?spid=4378945&src=category-page-1846.8095&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/3f/87/23/bab62a9695b0bbf4483e1cd5a92e78c4.jpg
Laptop - Máy Vi Tính - Linh kiện/Laptop/Laptop Truyền Thống,Laptop Asus Vivobook D509DA-EJ285T (AMD Ryzen 3-3200U/ 4GB DDR4 2400MHz/ 256GB PCIe NVMe/ 15.6 FHD/ Win10) - Hàng Chính Hãng,9399000,10490000,10,YES,NO,NO,4,100,5.0,https://tiki.vn/laptop-asus-vivobook-d509da-ej285t-amd-ryzen-3-3200u-4gb-ddr4-2400mhz-256gb-pcie-nvme-15-6-fhd-win10-hang-chinh-hang-p48207866.html?spid=48207867&src=category-page-1846.8095&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/3a/44/85/5e48ea1c946c731b14fad5ff4a7a2787.jpg
Laptop - Máy Vi Tính - Linh kiện/Laptop/Macbook,Apple Macbook Pro Touch Bar 2019 - 13 inchs (i5/ 8GB/ 128GB) - Hàng Nhập Khẩu Chính Hãng,29899000,36990000,19,YES,NO,NO,17,92,4.6,https://tiki.vn/apple-macbook-pro-touch-bar-2019-13-inchs-i5-8gb-128gb-hang-nhap-khau-chinh-hang-p23264373.html?spid=23264375&src=category-page-1846.8095&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/ca/45/dd/2308cbc5641e280cf8fa27b9f62900ae.jpg
Laptop - Máy Vi Tính - Linh kiện/Laptop/Laptop Truyền Thống,Laptop HP ENVY 13-aq1022TU 8QN69PA (Core i5-10210U/ 8GB/ 512GB SSD/ 13.3 FHD/ WIN10) - Hàng Chính Hãng,20979000,22690000,8,YES,NO,NO,7,94,4.7,https://tiki.vn/laptop-hp-envy-13-aq1022tu-8qn69pa-core-i5-10210u-8gb-512gb-ssd-13-3-fhd-win10-hang-chinh-hang-p45023084.html?spid=45023085&src=category-page-1846.8095&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/26/c7/02/4e037f915c484176029d3be4d3e45da0.jpg
Laptop - Máy Vi Tính - Linh kiện/Laptop/Laptop Truyền Thống,Laptop MSI Bravo 15 A4DCR-052VN (AMD R5-4600H/ 8GB DDR4 3200MHz/ 256GB SSD M.2 PCIE/ RX 5300M 3GB GDDR6/ 15.6 FHD IPS/ Win 10) - Hàng Chính Hãng,19149000,20490000,7,YES,NO,NO,1,100,5.0,https://tiki.vn/laptop-msi-bravo-15-a4dcr-052vn-amd-r5-4600h-8gb-ddr4-3200mhz-256gb-ssd-m-2-pcie-rx-5300m-3gb-gddr6-15-6-fhd-ips-win-10-hang-chinh-hang-p56694005.html?spid=56694006&src=category-page-1846.8095&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/90/d0/99/f9fb4ffcd5f8a9ab04f5691d59bb6548.jpg
Laptop - Máy Vi Tính - Linh kiện/Laptop/Laptop Truyền Thống,Laptop Dell Vostro 5490 V4I5106W (Core 5-10210U/ 8GB DDR4 2666MHz/ 256GB M.2 PCIe NVMe/ 14 FHD/ Win10) - Hàng Chính Hiệu,16829000,19990000,16,YES,NO,NO,3,80,4.0,https://tiki.vn/laptop-dell-vostro-5490-v4i5106w-core-5-10210u-8gb-ddr4-2666mhz-256gb-m-2-pcie-nvme-14-fhd-win10-hang-chinh-hieu-p45183900.html?spid=45183901&src=category-page-1846.8095&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/0b/02/de/d64144e52875faf9c87cee670e070b14.jpg
Laptop - Máy Vi Tính - Linh kiện/Laptop/Laptop Truyền Thống,Laptop Asus Vivobook A412DA-EK346T AMD R3-3200U/ Win10 (14 FHD) - Silver - Hàng Chính Hãng,10848000,11990000,10,YES,NO,NO,5,96,4.8,https://tiki.vn/laptop-asus-vivobook-a412da-ek346t-amd-r3-3200u-win10-14-fhd-silver-hang-chinh-hang-p34471728.html?spid=34471729&src=category-page-1846.8095&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/20/85/4f/cb27f3f9038734aa437749adb7181835.jpg
Laptop - Máy Vi Tính - Linh kiện/Laptop/Laptop Truyền Thống,Laptop Lenovo IdeaPad S145-15API 81UT00DMVN (AMD R3-3200U/ 4GB/ 256GB SSD/ 15.6 FHD/Win10) - Hàng Chính Hãng,8879000,10490000,15,YES,NO,NO,1,60,3.0,https://tiki.vn/laptop-lenovo-ideapad-s145-15api-81ut00dmvn-amd-r3-3200u-4gb-256gb-ssd-15-6-fhd-win10-hang-chinh-hang-p55731958.html?spid=55731959&src=category-page-1846.8095&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/44/1e/b9/7be76386eb1f4f5ddfa279ac85304dc2.jpg
Laptop - Máy Vi Tính - Linh kiện/Laptop/Laptop Truyền Thống,Laptop Lenovo Ideapad L340-15IRH 81LK00XLVN (Core i5-9300H/ 8GB/ 512GB SSD/ GTX 1050/ 15.6 FHD IPS/ Free DOS) - Hàng Chính Hãng,16719000,17990000,7,YES,NO,NO,9,94,4.7,https://tiki.vn/laptop-lenovo-ideapad-l340-15irh-81lk00xlvn-core-i5-9300h-8gb-512gb-ssd-gtx-1050-15-6-fhd-ips-free-dos-hang-chinh-hang-p46788890.html?spid=46788891&src=category-page-1846.8095&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/ab/b5/a6/031acd09f77761a6e1910c01ff0a5809.jpg
Laptop - Máy Vi Tính - Linh kiện/Laptop/Laptop Truyền Thống,Laptop Dell Vostro 3490 70207360 (Core i5-10210U/ 8GB DDR4 2666MHz/ 256GB SSD M.2 PCIE/ 14 FHD/ Win10) - Hàng Chính Hãng,14279000,15990000,11,YES,NO,NO,2,100,5.0,https://tiki.vn/laptop-dell-vostro-3490-70207360-core-i5-10210u-8gb-ddr4-2666mhz-256gb-ssd-m-2-pcie-14-fhd-win10-hang-chinh-hang-p50247924.html?spid=50247925&src=category-page-1846.8095&2hi=0,https://salt.tikicdn.com/cache/280x280/ts/product/a8/67/44/334340b4e2c58f516399f08f76b48e4e.jpg
